Idsalida,d,m,y,zona,ycodif,WPT,impactos,dientes,edad,sexo,altocruz,anchocruz,largo,CE,nutri,abertura,extrmuni,fotogral,fotodent,preñez
20181117BR,17,11,2018,BR,3,BR282,2,DL,1,M,128,82,207,29,MB,SI,SI,SI,SI,NC
20181117BR,17,11,2018,BR,3,BR283,1,8,5,M,152,97,222,35,MB,SI,NO,SI,SI,NC
20181117BR,17,11,2018,BR,3,BR284,2,8,5,M,135,106,281,35,MB,SI,NO,SI,SI,NC
20181117BR,17,11,2018,BR,3,BR285,2,2,2,M,127,90,226,30,MB,SI,NO,SI,SI,NC
20181117BR,17,11,2018,BR,3,BR286,3,8,5,M,139,109,281,37,MB,NO,NO,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR287,1,4,3,M,242,136,89,33,R,SI,NO,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR288,1,8,5,H,120,77,214,NA,MB,SI,NO,SI,SI,si
20181126BR,26,11,2018,BR,3,BR289,3,8,5,M,149,1150,280,39,MB,SI,NO,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR290,3,8,5,M,132,87,229,NA,MB,SI,NO,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR291,1,6,4,H,142,98,230,NA,MB,SI,NO,SI,SI,no
20181126BR,26,11,2018,BR,3,BR292,1,2,2,H,125,76,209,NA,MB,SI,NO,SI,SI,si
20181126BR,26,11,2018,BR,3,BR293,1,8,5,M,148,105,268,36,MB,SI,NO,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR294,2,2,2,M,134,88,209,35,MB,SI,SI,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR295,6,8,5,M,150,107,271,38,MB,SI,NO,SI,SI,NC
20181126BR,26,11,2018,BR,3,BR296,4,8,5,M,136,103,259,32,MB,SI,NO,SI,SI,NC
20181208BR,08,12,2018,BR,3,BR297,3,DL,1,M,95,60,150,15,MB,si,no,si,si,NC
20181208BR,08,12,2018,BR,3,BR298,2,6,4,H,128,88,229,NA,MB,SI,NO,SI,SI,no
20181208BR,08,12,2018,BR,3,BR299,2,DL,1,H,82,44,121,NA,MB,SI,NO,SI,SI,no
20181208BR,08,12,2018,BR,3,BR300,2,DL,1,H,93,53,145,NA,MB,SI,NO,SI,SI,no
20181208BR,08,12,2018,BR,3,BR301,2,8,5,M,150,105,280,44,MB,SI,NO,SI,SI,NC
20181209BR,09,12,2018,BR,3,BR302,2,NA,5,H,115,81,247,NA,MB,SI,NO,SI,SI,no
20181209BR,09,12,2018,BR,3,BR303,2,6,4,M,155,104,256,35,MB,SI,NO,SI,SI,NC
20181209BR,09,12,2018,BR,3,BR304,3,6,4,M,140,101,228,37,MB,SI,NO,SI,SI,NC
20181209BR,09,12,2018,BR,3,BR305,3,4,3,M,140,101,235,33,MB,SI,NO,SI,SI,NC
20181214BR,14,12,2018,BR,3,BR306,2,8,5,M,145,95,275,35,MB,SI,NO,SI,SI,NC
20190107BR,07,01,2019,BR,4,BR307,2,8,5,H,138,89,236,NA,MB,SI,SI,SI,SI,si
20190114BR,14,01,2019,BR,4,BR308,1,8,5,M,163,110,240,36,MB,SI,NO,SI,SI,NC
20190114BR,14,01,2019,BR,4,BR309,2,8,5,H,118,83,232,NA,MB,SI,NO,SI,SI,si
20190114BR,14,01,2019,BR,4,BR310,3,DL,1,H,100,60,152,NA,MB,SI,NO,SI,SI,no
20190118BR,18,01,2019,BR,4,BR311,1,8,5,H,133,92,217,NA,MB,SI,NO,SI,SI,no
20190118BR,18,01,2019,BR,4,BR312,1,DL,1,M,130,90,202,30,MB,SI,NO,SI,SI,NC
20190123BR,23,01,2019,BR,4,BR313,1,4,3,H,124,88,239,NA,MB,SI,NO,SI,SI,si
20190308BR,08,03,2019,BR,4,BR314,2,8,5,H,92,128,209,NA,MB,SI,NO,SI,SI,si
20190308BR,08,03,2019,BR,4,BR315,3,DL,1,H,80,118,213,NA,MB,SI,NO,SI,SI,si
20190308BR,08,03,2019,BR,4,BR316,2,DL,1,M,96,61,148,18,MB,SI,NO,SI,SI,NC
20190312BR,12,03,2019,BR,4,BR317,2,DL,1,M,104,66,169,18,MB,SI,NO,SI,SI,NC
20190426BR,26,04,2019,BR,4,BR318,3,4,3,M,134,95,240,30,MB,SI,NO,SI,SI,NC
20190426BR,26,04,2019,BR,4,BR319,2,DL,1,H,116,77,199,NA,MB,SI,NO,SI,SI,no
20190426BR,26,04,2019,BR,4,BR320,1,6,4,M,140,105,232,35,MB,SI,NO,SI,SI,NC
20190426BR,26,04,2019,BR,4,BR321,1,6,4,M,130,98,265,35,MB,SI,NO,SI,SI,NC
20190505BR,05,05,2019,BR,4,BR322,2,DL,1,M,121,77,177,23,MB,SI,NO,SI,SI,NC
20190505BR,05,05,2019,BR,4,BR323,2,8,5,H,135,90,260,NA,MB,SI,NO,SI,SI,si
20190528BR,28,05,2019,BR,4,BR324,1,8,5,M,140,97,322,39,MB,SI,NO,SI,SI,NC
20190530BR,30,05,2019,BR,4,BR325,2,8,5,H,130,98,278,NA,MB,SI,NO,SI,SI,si
20190604BR,04,06,2019,BR,4,BR326,2,8,5,M,150,113,260,36,MB,SI,NO,SI,SI,NC
20190727BR,27,07,2019,BR,4,BR327,1,8,5,M,140,110,260,36,MB,SI,NO,SI,SI,NC
20190704BR,04,07,2019,BR,4,BR328,2,8,5,H,124,90,216,NA,MB,SI,NO,SI,SI,si
20190720BR,20,07,2019,BR,4,BR329,4,8,5,M,145,115,270,NA,MB,SI,NO,SI,SI,NC
20190724BR,24,07,2019,BR,4,BR330,5,8,5,M,152,120,280,35,MB,SI,NO,SI,SI,NC
