ID,y,m,d,zona,ycodif,cantidad,horas,km,CPUE,balas,nutri
BSS3112021,2021,11,3,BSS,6,4,5,,,14,Muy Bueno
BSE10112021,2021,11,10,BSE,6,12,6.666666667,,,37,Muy Bueno
BSS24112021,2021,11,24,BSS,6,5,8.5,,,79,Muy Bueno
BR9122021,2021,12,9,BR,6,3,5,,,34,Muy Bueno
BSO20122021,2021,12,20,BSO,6,6,6,,,65,Muy Bueno
BR18112021,2021,11,18,BR,6,2,4,,,3,Muy Bueno
BSO2232022,2022,3,22,BSO,7,2,3.833333333,,,9,Muy Bueno
BSO162022,2022,6,1,BSO,7,8,2.5,,,40,Muy Bueno
BR862022,2022,6,8,BR,7,7,3.5,,,29,Muy Bueno
BR1562022,2022,6,15,BR,7,5,6.75,,,20,Muy Bueno
BR2262022,2022,6,22,BR,7,13,4.75,,,42,Muy Bueno
BR2962022,2022,6,29,BR,7,1,5.,,,4,Muy Bueno
BR1372022,2022,7,13,BR,7,3,5.,,,20,Muy Bueno
BR1082022,2022,8,10,BR,7,3,5.,,,11,Muy Bueno
BR20102022,2022,10,20,BR,7,7,4.50,,,25,Muy Bueno
BSO11122022,2022,12,11,BSO,7,3,2.5,,,8,Muy Bueno
BSO1512023,2023,1,15,BSO,8,1,7.,,,4,Muy Bueno
BR122023,2023,2,1,BR,8,7,7.50,,,21,Muy Bueno
BR822023,2023,2,8,BR,8,9,6.50,,,32,Muy Bueno
BR822023,2023,2,8,BR,8,2,5.75,,,9,Muy Bueno
BR1732023,2023,3,17,BR,8,1,10.,,,4,Muy Bueno
BR2132023,2023,3,21,BR,8,7,5.5,,,17,Muy Bueno
BR2832023,2023,3,28,BR,8,0,7.,,,0,
BR542023,2023,4,5,BR,8,0,6.,,,0,
BR1042023,2023,4,10,BR,8,7,6.,,,30,Muy Bueno
BR2042023,2023,4,20,BR,8,7,6.50,,,25,Muy Bueno
BR2942023,2023,4,29,BR,8,5,5.5,,,25,Muy Bueno
BR352023,2023,5,3,BR,8,0,4.66666667,,,0,
BR752023,2023,5,7,BR,8,0,4.50,,,0,
BR952023,2023,5,9,BR,8,2,5.,,,8,Muy Bueno
BR2152023,2023,5,21,BR,8,0,5.,,,0,
BR2352023,2023,5,23,BR,8,6,6.,,,14,Muy Bueno
BR3152023,2023,5,31,BR,8,5,5.5,,,13,Muy Bueno
BR762023,2023,6,7,BR,8,0,5.,,,0,
BR1362023,2023,6,13,BR,8,4,8.75,,,16,Muy Bueno
BR1462023,2023,6,14,BR,8,0,5.,,,0,
BR2162023,2023,6,21,BR,8,8,5.666666667,,,27,Muy Bueno
BR2262023,2023,6,22,BR,8,5,4.50,,,8,Muy Bueno
BR2462023,2023,6,24,BR,8,2,5.,,,5,Muy Bueno
BR2862023,2023,6,28,BR,8,0,6.50,,,0,Muy Bueno
BR172023,2023,7,1,BR,8,4,4.50,,,6,Muy Bueno
BR572023,2023,7,5,BR,8,4,4.25,,,9,Muy bueno
BR872023,2023,7,8,BR,8,2,4.,,,8,Muy Bueno
BR1372023,2023,7,13,BR,8,0,5.25,,,0,
BSO1572023,2023,7,15,BSO,8,2,5.5,,,8,Muy Bueno
BR2072023,2023,7,20,BR,8,1,5.5,,,1,Muy Bueno
BR2472023,2023,7,24,BR,8,4,5.75,,,13,Muy Bueno
BR482023,2023,8,4,BR,8,1,4.75,,,2,Muy Bueno
BR982023,2023,8,9,BR,8,2,3.5,,,6,Muy Bueno
BSO1982023,2023,8,19,BSO,8,7,5.,,,27,Muy Bueno
BR2782023,2023,8,27,BR,8,0,0.01666667,,,0,
BR3082023,2023,8,30,BR,8,1,4.,,,6,Muy Bueno
BR892023,2023,9,8,BR,8,8,6.50,,,32,Muy Bueno
BR1292023,2023,9,12,BR,8,0,4.50,,,0,
BR2292023,2023,9,22,BR,8,8,6.,,,27,Muy Bueno
BR2892023,2023,9,28,BR,8,7,6.50,,,23,Regular
BSS4102023,2023,10,4,BSS,8,4,7.,,,8,Muy Bueno
BSS13102023,2023,10,13,BSS,8,2,6.50,,,4,Muy Bueno
BR20102023,2023,10,20,BR,8,0,6.50,,,0,
BR6122023,2023,12,6,BR,8,2,8.,,,9,Muy Bueno
BR15122023,2023,12,15,BR,8,3,7.,,,11,Muy Bueno
BR23122023,2023,12,23,BR,8,0,6.50,,,1,
BR312024,2024,1,3,BR,9,5,4.,,,13,Muy Bueno
BR1312024,2024,1,13,BR,9,0,7.50,,,3,
BR1612024,2024,1,16,BR,9,0,5.5,,,0,
BR1422024,2024,2,14,BR,9,2,5.95,,,5,Muy Bueno
BR2822024,2024,2,28,BR,9,0,5.5,,,4,
BR432024,2024,3,4,BR,9,0,7.,,,0,
BR1832024,2024,3,18,BR,9,4,5.5,,,10,Muy Bueno
BR942024,2024,4,9,BR,9,14,9.,,,46,Muy Bueno
BR1642024,2024,4,16,BR,9,0,6.50,,,0,
BR2442024,2024,4,24,BR,9,0,5.5,,,0,
BR452024,2024,5,4,BR,9,0,6.,,,0,
BR752024,2024,5,7,BR,9,0,5.5,,,0,
BR1462024,2024,6,14,BR,9,0,6.,,,0,
BR2662024,2024,6,26,BR,9,0,7.50,,,0,
BR782024,2024,8,7,BR,9,0,5.25,,,0,
BR1882024,2024,8,18,BR,9,2,5.5,,,4,Muy Bueno
BR2182024,2024,8,21,BR,9,2,5.,,,7,Muy Bueno
BR2782024,2024,8,27,BR,9,1,8.,,,7,Muy Bueno
BR392024,2024,9,3,BR,9,0,6.,,,0,
BR1192024,2024,9,11,BR,9,0,6.50,,,0,
BSS5102024,2024,10,5,BSS,9,0,6.,,,0,
BR2892024,2024,9,28,BR,9,0,6.,,,0,
BSS22102024,2024,10,22,BSS,9,0,10.5,,,4,
BSE30102024,2024,10,30,BSE,9,4,10.5,,,6,Muy Bueno
BSE20112024,2024,11,20,BSE,9,1,7.,,,2,Regular
BR27112024,2024,11,27,BR,9,5,7.,,,12,Muy Bueno
BSS4122024,2024,12,4,BSS,9,0,7.,,,3,
BR1512025,2025,1,15,BR,10,3,5.666666667,,,15,Muy Bueno
BR2312025,2025,1,23,BR,10,0,5.,,,0,
BR3012025,2025,1,30,BR,10,0,5.5,,,0,
BR522025,2025,2,5,BR,10,2,6.,,,7,Muy Bueno
